pid,trial_type,rt,time_elapsed,cost,display_ev,problem_id,payoff_matrix,net_payoff,min_trial_secs,click_times,click_cost,payoff_value,probabilities,e_vs,payoff_index,choice_index,revealed_points,clicks,answers,correct,flag,block,trial_index,sigma,alpha
1,mouselab,15683.0,884353,0,False,M37qiSEgNyuXj4W,"[[-62, 47, -50, -69, 124, -159], [126, 104, 73, -73, 64, -184], [-66, 77, -137, -42, 74, 25], [16, 15, -2, 107, 16, -129]]",77,0.0,"[1200, 2769, 3268, 4118, 4648, 5117, 5607, 6137, 6717, 7267, 7837, 8416, 8906, 9376, 9886, 10335, 10805, 11285, 11804, 12344, 12854, 13323, 13833, 14273]",0,77,"[0.22, 0.22, 0.25, 0.31]","[3, 57, -30, -9, 65, -109]",2,1,"[[-62, 47, -50, -69, 124, -159], [126, 104, 73, -73, 64, -184], [-66, 77, -137, -42, 74, 25], [16, 15, -2, 107, 16, -129]]","[0, 1, 2, 3, 4, 5, 11, 10, 9, 8, 7, 6, 12, 13, 14, 15, 16, 17, 23, 22, 21, 20, 19, 18]",,,,test,17,75,10.000000000000009
1,mouselab,13463.0,899355,0,False,Upnn6z3TT95X9QN,"[[57, 29, 70, -76, -9, -88], [21, 70, 124, -150, 67, -38], [14, -47, 55, -157, 53, -20], [100, -35, 166, 34, 43, 6]]",55,0.0,"[1159, 1639, 2132, 2598, 3147, 3647, 4207, 4707, 5176, 5626, 6116, 6576, 7085, 7575, 8005, 8454, 8884, 9334, 9871, 10433, 11073, 11593, 12132, 12632]",0,55,"[0.23, 0.22, 0.33, 0.22]","[44, -1, 98, -95, 40, -34]",2,2,"[[57, 29, 70, -76, -9, -88], [21, 70, 124, -150, 67, -38], [14, -47, 55, -157, 53, -20], [100, -35, 166, 34, 43, 6]]","[0, 1, 2, 3, 4, 5, 11, 10, 9, 8, 7, 6, 12, 13, 14, 15, 16, 17, 23, 22, 21, 20, 19, 18]",,,,test,18,75,10.000000000000009
1,mouselab,13941.0,914757,0,False,TRbTjUzM32WiCfB,"[[37, 22, 94, 58, -40, -14], [-69, -23, -64, 48, 5, 18], [58, -38, -23, 113, 118, -20], [-72, 75, -91, 87, 18, 21]]",58,0.0,"[1138, 1638, 2127, 2647, 3137, 3586, 4056, 4587, 5096, 5605, 6085, 6655, 7204, 7675, 8144, 8714, 9243, 9794, 10573, 11162, 11662, 12192, 12642, 13101]",0,58,"[0.36, 0.27, 0.23, 0.14]","[-2, 3, -1, 72, 17, -2]",0,3,"[[37, 22, 94, 58, -40, -14], [-69, -23, -64, 48, 5, 18], [58, -38, -23, 113, 118, -20], [-72, 75, -91, 87, 18, 21]]","[0, 1, 2, 3, 4, 5, 11, 10, 9, 8, 7, 6, 12, 13, 14, 15, 16, 17, 23, 22, 21, 20, 19, 18]",,,,test,19,75,10.000000000000009
10,mouselab,25530.0,40017,8,True,dBNl5dzyNSRu5ql,"[[31, -118, 22, -56, -123, 88], [-31, 37, 39, 10, 24, 22], [-158, 22, -6, 27, -86, -51], [-47, -24, -25, -115, -32, 5]]",22,20.0,[],0,22,"[0.22, 0.04, 0.73, 0.01]","[0, 0, 0, 0, 0, 0]",2,1,"[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]]",[],,,,instruct1,0,75,0.10000000000000002
10,mouselab,6240.0,47926,8,True,nEeUZVFCAc1G4mc,"[[115, 98, -113, 170, -66, 96], [-22, -10, 102, -49, 146, 46], [-78, 49, 0, -76, 52, -110], [37, 69, 76, 38, -83, 48]]",76,20.0,[],0,76,"[0.27, 0.28, 0.03, 0.42]","[0, 0, 0, 0, 0, 0]",3,2,"[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]]",[],,,,instruct1,1,75,0.10000000000000002
10,mouselab,16942.0,68357,8,True,dFMyfhGUKf335Wq,"[[90, 62, 145, 68, -26, -111], [61, 34, 42, 76, -6, -2], [77, -83, -47, 73, 35, -78], [-79, 59, -13, 107, 117, 96]]",-111,20.0,[],0,-111,"[0.21, 0.18, 0.04, 0.57]","[0, 0, 0, 0, 0, 0]",0,5,"[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]]",[],,,,instruct1,2,75,0.10000000000000002
10,mouselab,5065.0,169613,8,True,FTaQr9Vc3N5BtN0,"[[182, 62, 39, 33, 75, -39], [2, 35, -4, -11, -128, 158], [12, 133, -72, 12, 58, 26], [64, 53, 15, 48, 79, -69]]",2,20.0,[],0,2,"[0.010000000000000009, 0.68, 0.13, 0.18]","[0, 0, 0, 0, 0, 0]",1,0,"[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]]",[],,,,instruct2,0,75,0.10000000000000002
10,mouselab,2696.0,174445,8,True,2H2K5rRCXUmUneF,"[[-5, 9, -43, -91, 22, -50], [5, -43, -53, -14, 80, 50], [-162, -65, -24, 26, 81, 48], [-84, -11, 14, -98, 153, 118]]",22,20.0,[],0,22,"[0.13, 0.01, 0.41, 0.45]","[0, 0, 0, 0, 0, 0]",0,4,"[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]]",[],,,dominating,instruct2,1,75,0.10000000000000002
10,mouselab,1913.0,178945,8,True,JAHFEh04PXDWEXh,"[[63, -91, -11, -55, 96, 3], [-65, 27, -60, 70, 50, 51], [-102, 115, -103, 25, 14, 48], [-98, -92, 60, -3, 1, -133]]",1,20.0,[],0,1,"[0.02, 0.02, 0.09, 0.87]","[0, 0, 0, 0, 0, 0]",3,4,"[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]]",[],,,,instruct2,2,75,0.10000000000000002
10,mouselab,21547.0,202971,8,True,ltrwK3KJtmSGlBw,"[[83, -66, -139, -75, -108, 25], [66, 24, -21, 22, -17, -85], [32, 179, -29, -97, -50, -37], [104, 4, -93, 10, -56, 18]]",16,20.0,"[13965, 16553]",16,32,"[0.13, 0.02, 0.78, 0.07]","[36, 0, 0, 0, 0, 0]",2,0,"[[83, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [32, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]]","[0, 12]",,,,instruct3,0,75,0.10000000000000002
