pid,mu,alpha,sigma,cost,bonus_rate,n_comprehension,bonus,total_time,params,start_time,browser,version,gender,age,education,wage,pass_check1,pass_check2,pass_instruct1,pass_instruct2,pass_instruct3,instruct_time
1341,0,3.1622776601683813,75,0,0.002,3.0,3.364,1300772.0,"{u'mu': 0, u'alpha': 3.162277660168381, u'n_dominating': 3, u'sigma': 75, u'n_trial': 20, u'cost': 0, u'bonus_rate': 0.002, u'n_comprehension': 3}",2020-01-30T16:18:45.093Z,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",1.0,male,47,college,3,1.0,1.0,1.0,1.0,1.0,13.583116666666667
1710,0,1.0000000000000004,75,2,0.002,3.0,2.384,841972.0,"{u'mu': 0, u'alpha': 1.0000000000000004, u'n_dominating': 3, u'sigma': 75, u'n_trial': 20, u'cost': 2, u'bonus_rate': 0.002, u'n_comprehension': 3}",2020-01-30T16:16:33.280Z,"Mozilla/5.0 (X11; CrOS x86_64 12607.82.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.123 Safari/537.36",1.0,female,60,secondary,5,1.0,1.0,1.0,1.0,1.0,10.965516666666666
682,0,0.10000000000000002,75,8,0.002,3.0,1.5959999999999999,326013.0,"{u'mu': 0, u'alpha': 0.10000000000000002, u'n_dominating': 3, u'sigma': 75, u'n_trial': 20, u'cost': 8, u'bonus_rate': 0.002, u'n_comprehension': 3}",2020-01-30T18:23:24.761Z,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",1.0,male,25,college,4,1.0,1.0,0.6666666666666666,1.0,1.0,4.4241
2696,0,1.0000000000000004,75,4,0.002,3.0,1.148,1025296.0,"{u'mu': 0, u'alpha': 1.0000000000000004, u'n_dominating': 3, u'sigma': 75, u'n_trial': 20, u'cost': 4, u'bonus_rate': 0.002, u'n_comprehension': 3}",2020-01-31T20:09:56.583Z,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",1.0,female,60,college,1,1.0,1.0,1.0,1.0,0.6666666666666666,14.5491
2062,0,10.000000000000009,75,8,0.002,3.0,1.268,351307.0,"{u'mu': 0, u'alpha': 10.000000000000007, u'n_dominating': 3, u'sigma': 75, u'n_trial': 20, u'cost': 8, u'bonus_rate': 0.002, u'n_comprehension': 3}",2020-01-30T15:56:48.276Z,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",1.0,male,33,college,5,1.0,1.0,1.0,1.0,0.0,4.6687666666666665
2488,0,10.000000000000009,75,2,0.002,3.0,1.4680000000000002,349522.0,"{u'mu': 0, u'alpha': 10.000000000000007, u'n_dominating': 3, u'sigma': 75, u'n_trial': 20, u'cost': 2, u'bonus_rate': 0.002, u'n_comprehension': 3}",2020-01-30T17:55:12.082Z,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",1.0,male,26,college,4,1.0,1.0,1.0,1.0,1.0,3.0414166666666667
1140,0,10.000000000000009,75,1,0.002,3.0,2.886,1464177.0,"{u'mu': 0, u'alpha': 10.000000000000007, u'n_dominating': 3, u'sigma': 75, u'n_trial': 20, u'cost': 1, u'bonus_rate': 0.002, u'n_comprehension': 3}",2020-01-30T16:03:06.338Z,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.117 Safari/537.36",1.0,female,56,college,6,1.0,1.0,1.0,1.0,1.0,12.378966666666667
269,0,0.31622776601683805,75,1,0.002,3.0,2.158,486960.0,"{u'mu': 0, u'alpha': 0.31622776601683805, u'n_dominating': 3, u'sigma': 75, u'n_trial': 20, u'cost': 1, u'bonus_rate': 0.002, u'n_comprehension': 3}",2020-01-30T16:02:28.148Z,Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:72.0) Gecko/20100101 Firefox/72.0,1.0,male,46,college,3,1.0,1.0,1.0,1.0,1.0,5.9473666666666665
2427,0,0.31622776601683805,150,8,0.002,3.0,6.9079999999999995,528980.0,"{u'mu': 0, u'alpha': 0.31622776601683805, u'n_dominating': 3, u'sigma': 150, u'n_trial': 20, u'cost': 8, u'bonus_rate': 0.002, u'n_comprehension': 3}",2020-01-30T17:39:25.317Z,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",1.0,female,38,college,6,1.0,1.0,1.0,1.0,1.0,4.516566666666667
2873,0,1.0000000000000004,75,1,0.002,3.0,2.58,464996.0,"{u'mu': 0, u'alpha': 1.0000000000000004, u'n_dominating': 3, u'sigma': 75, u'n_trial': 20, u'cost': 1, u'bonus_rate': 0.002, u'n_comprehension': 3}",2020-01-30T16:19:08.482Z,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",1.0,male,29,college,8,1.0,1.0,1.0,1.0,0.6666666666666666,5.356816666666667
