sigma,alpha,cost,implicit_cost,payoff,clicks,net_payoff
75.0,3.1622776601683813,2.0,0.1,45.61188892846054,6.57539,32.46110892846054
75.0,1.0000000000000004,8.0,0.1,39.30850272135718,2.67527,17.90634272135718
75.0,0.10000000000000002,4.0,0.1,79.97271972407428,4.71227,61.12363972407428
150.0,10.000000000000009,4.0,0.1,82.09076800231533,7.25027,53.08968800231533
75.0,0.10000000000000002,0.0,0.1,83.34673014699304,7.29158,83.34673014699304
150.0,0.31622776601683805,2.0,0.1,141.18460092818574,7.13925,126.90610092818575
150.0,0.10000000000000002,2.0,0.1,166.22666748147626,6.23324,153.76018748147627
150.0,10.000000000000009,1.0,0.1,96.79965158655834,13.08468,83.71497158655833
75.0,0.31622776601683805,0.0,0.1,71.46830482548546,9.3437,71.46830482548546
150.0,0.10000000000000002,4.0,0.1,163.1388187597421,5.37007,141.6585387597421
150.0,0.31622776601683805,0.0,0.1,142.9325294544521,9.82716,142.9325294544521
150.0,3.1622776601683813,4.0,0.1,93.31100470115292,7.15442,64.69332470115293
75.0,3.1622776601683813,8.0,0.1,29.31673448250829,2.5172,9.179134482508292
75.0,0.10000000000000002,2.0,0.1,82.2041349965135,5.6394,70.9253349965135
75.0,10.000000000000009,4.0,0.2,31.594491202734194,3.99817,15.601811202734194
150.0,1.0000000000000004,1.0,0.2,118.13845155106678,9.75813,108.38032155106679
75.0,1.0000000000000004,0.0,0.2,59.448567430441805,10.22282,59.448567430441805
75.0,0.31622776601683805,1.0,0.2,70.04149977802517,6.71302,63.32847977802517
150.0,3.1622776601683813,0.0,0.2,103.90227807484392,12.85656,103.90227807484392
150.0,0.10000000000000002,8.0,0.2,161.38070995148286,5.06086,120.89382995148286
150.0,1.0000000000000004,8.0,0.2,102.86317904537832,4.90213,63.64613904537832
150.0,10.000000000000009,8.0,0.2,59.52140863839095,3.55327,31.095248638390952
150.0,3.1622776601683813,1.0,0.2,102.71502168438978,10.66603,92.04899168438979
75.0,0.31622776601683805,8.0,0.2,54.96372057128778,2.95549,31.31980057128778
150.0,0.10000000000000002,1.0,0.2,166.30274787313041,6.37465,159.9280978731304
75.0,0.10000000000000002,1.0,0.2,82.80580221253251,6.01386,76.79194221253252
75.0,3.1622776601683813,4.0,0.2,38.76916238721239,4.32081,21.48592238721239
150.0,1.0000000000000004,4.0,0.2,109.34975175956285,5.98648,85.40383175956285
75.0,0.10000000000000002,8.0,0.2,74.66965708189663,3.76698,44.53381708189663
150.0,3.1622776601683813,2.0,0.2,100.26419088329155,9.61861,81.02697088329154
75.0,3.1622776601683813,1.0,0.2,50.09526127785171,9.22719,40.86807127785171
150.0,0.31622776601683805,1.0,0.2,142.1512146414646,7.56085,134.59036464146462
75.0,1.0000000000000004,4.0,0.2,48.406515473048266,4.17319,31.713755473048266
75.0,10.000000000000009,0.0,0.2,48.502589256419576,13.72843,48.502589256419576
75.0,0.31622776601683805,2.0,0.2,68.44935101236621,5.72613,56.997091012366205
75.0,1.0000000000000004,1.0,0.2,57.34649894048725,7.721,49.62549894048725
75.0,3.1622776601683813,0.0,0.2,51.83558254234427,12.31612,51.83558254234427
75.0,1.0000000000000004,2.0,0.2,54.77857967988135,6.11781,42.54295967988135
75.0,10.000000000000009,8.0,0.2,22.555145763388484,2.31328,4.048905763388486
75.0,10.000000000000009,2.0,0.2,41.107627730484175,7.23735,26.632927730484177
75.0,10.000000000000009,1.0,0.2,44.77489592113506,9.36909,35.40580592113506
150.0,0.31622776601683805,8.0,0.2,129.69037515689595,4.57161,93.11749515689596
150.0,1.0000000000000004,0.0,0.2,119.24870690629282,12.14067,119.24870690629282
150.0,10.000000000000009,0.0,0.2,98.4120085182029,15.8284,98.4120085182029
150.0,10.000000000000009,2.0,0.2,92.79948994862674,10.48244,71.83460994862673
150.0,0.10000000000000002,0.0,0.2,166.5788524565977,7.06019,166.5788524565977
75.0,0.31622776601683805,4.0,0.2,65.67113248001654,4.78574,46.528172480016536
150.0,1.0000000000000004,2.0,0.2,117.26943458002495,8.55115,100.16713458002495
150.0,3.1622776601683813,8.0,0.2,77.60915504806313,4.30669,43.15563504806313
150.0,0.31622776601683805,4.0,0.2,137.17111169159568,5.78134,114.04575169159568
75.0,3.1622776601683813,2.0,0.2,46.43526284490565,6.95164,32.53198284490565
75.0,1.0000000000000004,8.0,0.2,40.481119632456476,2.82716,17.863839632456475
75.0,0.10000000000000002,4.0,0.2,78.99955992224237,4.57253,60.70943992224237
150.0,10.000000000000009,4.0,0.2,85.13466744806837,7.86753,53.66454744806837
75.0,0.10000000000000002,0.0,0.2,83.35547542786045,6.77086,83.35547542786045
150.0,0.31622776601683805,2.0,0.2,141.63958758883155,7.27361,127.09236758883155
150.0,0.10000000000000002,2.0,0.2,165.93589020989745,5.99489,153.94611020989745
150.0,10.000000000000009,1.0,0.2,96.99075974764956,13.14665,83.84410974764957
75.0,0.31622776601683805,0.0,0.2,71.37307689331523,7.85902,71.37307689331523
150.0,0.10000000000000002,4.0,0.2,163.62591994009978,5.51217,141.5772399400998
150.0,0.31622776601683805,0.0,0.2,142.7229471002661,8.74955,142.7229471002661
150.0,3.1622776601683813,4.0,0.2,92.23345263442434,6.88319,64.70069263442434
75.0,3.1622776601683813,8.0,0.2,27.30648429572708,2.30696,8.85080429572708
75.0,0.10000000000000002,2.0,0.2,81.03003929237558,5.21692,70.59619929237557
75.0,10.000000000000009,4.0,0.3,31.057754580842797,3.8809,15.534154580842797
150.0,1.0000000000000004,1.0,0.3,117.2323724322187,8.78608,108.4462924322187
75.0,1.0000000000000004,0.0,0.3,59.21130124327278,9.63362,59.21130124327278
75.0,0.31622776601683805,1.0,0.3,70.64434187449201,7.09721,63.54713187449202
150.0,3.1622776601683813,0.0,0.3,104.38961098435247,13.37924,104.38961098435247
150.0,0.10000000000000002,8.0,0.3,158.77603062968316,4.62894,121.74451062968316
150.0,1.0000000000000004,8.0,0.3,98.17887307279466,4.33539,63.495753072794656
150.0,10.000000000000009,8.0,0.3,63.29463900832543,3.97092,31.527279008325433
150.0,3.1622776601683813,1.0,0.3,103.37144214961816,11.37389,91.99755214961816
75.0,0.31622776601683805,8.0,0.3,58.678368033930326,3.43414,31.205248033930324
150.0,0.10000000000000002,1.0,0.3,166.6356194315164,6.6469,159.98871943151642
75.0,0.10000000000000002,1.0,0.3,82.8260031432678,6.21644,76.60956314326779
75.0,3.1622776601683813,4.0,0.3,36.06263920174899,3.6614,21.41703920174899
150.0,1.0000000000000004,4.0,0.3,108.87006114038739,5.95794,85.03830114038739
