pid,time_elapsed,trial_type,rt,payoff_matrix,cost,click_cost,choice_index,clicks,payoff_value,probabilities,net_payoff,payoff_index,click_times,answers,correct,block,trial_index
17,619733,mouselab,42535.0,"[[56, 4, -80, -248, -110, -128], [-94, -38, 127, 65, -49, -127], [-56, -155, -172, 35, -247, 23], [-77, 17, 74, -164, -111, -19]]",2,48,0,"[0, 6, 7, 2, 3, 4, 5, 1, 13, 14, 12, 15, 10, 18, 19, 20, 8, 9, 21, 22, 16, 11, 17, 23]",56,"[0.21, 0.26, 0.31, 0.22]",8,0,"[1455, 2424, 3895, 5831, 7143, 8559, 9727, 11487, 12319, 14431, 15575, 17487, 19335, 21983, 23062, 25142, 25966, 27198, 27974, 29110, 29919, 30742, 31822, 32334]",,,test,6
17,635493,mouselab,13248.0,"[[-35, -108, -355, -124, -61, 6], [-66, 242, -401, -83, -172, -30], [-317, 8, -5, -23, 203, 360], [-177, 168, -60, 97, 100, 172]]",2,18,5,"[0, 1, 2, 3, 4, 5, 11, 17, 23]",172,"[0.21, 0.31, 0.25, 0.23]",154,3,"[1231, 2855, 4943, 5759, 6815, 8207, 9039, 10295, 11271]",,,test,7
17,657381,mouselab,19320.0,"[[-137, 192, -35, -263, -76, -37], [27, -85, -153, 62, -142, -142], [27, -172, 23, 193, 39, 244], [-149, 53, 145, 29, 98, 22]]",2,28,3,"[0, 1, 7, 13, 2, 8, 15, 9, 3, 21, 4, 10, 17, 11]",29,"[0.25, 0.29, 0.16, 0.3]",1,3,"[1159, 2895, 4119, 5272, 6855, 7711, 8695, 9512, 10319, 11479, 13447, 14272, 15231, 15871]",,,test,8
17,673158,mouselab,12720.0,"[[-161, 46, -355, 69, -260, -91], [-74, -98, -66, 259, -246, -50], [120, 285, -120, 19, 256, -38], [-180, -157, -51, -21, -405, 52]]",2,16,3,"[0, 6, 7, 14, 15, 9, 3, 21]",19,"[0.31, 0.3, 0.19, 0.2]",3,2,"[1400, 2248, 4648, 5600, 6816, 7624, 8352, 9432]",,,test,9
6,46314,mouselab,33614.0,"[[-50, -51, -82, -27, 41, 81], [-24, -22, 86, -44, -45, 105], [-2, 127, 6, 61, -19, 30], [46, -74, -69, 48, 69, 54]]",2,0,0,[],46,"[0.2, 0.2, 0.1, 0.5]",46,3,[],,,instruct1,0
6,53432,mouselab,2718.0,"[[-50, -51, -82, -27, 41, 81], [-24, -22, 86, -44, -45, 105], [-2, 127, 6, 61, -19, 30], [46, -74, -69, 48, 69, 54]]",2,0,1,[],-22,"[0.2, 0.2, 0.1, 0.5]",-22,1,[],,,instruct1,1
6,58738,mouselab,3803.0,"[[-50, -51, -82, -27, 41, 81], [-24, -22, 86, -44, -45, 105], [-2, 127, 6, 61, -19, 30], [46, -74, -69, 48, 69, 54]]",2,0,2,[],86,"[0.2, 0.2, 0.1, 0.5]",86,1,[],,,instruct1,2
6,157964,mouselab,18617.0,"[[74, -43, -10, 35, 84, 41], [-103, -173, 45, 31, 79, -8], [-90, -48, -74, 56, 76, -191], [147, -8, -122, -136, 183, 38]]",2,0,4,[],79,"[0.07, 0.63, 0.16, 0.14]",79,1,[],,,instruct2,0
6,169567,mouselab,8857.0,"[[-131, 30, 68, 99, -28, 9], [-20, -2, -161, 44, -26, 23], [0, 12, 113, 123, 32, 65], [40, 23, 16, 65, -2, -64]]",2,0,3,[],99,"[0.77, 0.09, 0.11, 0.03]",99,0,[],,,instruct2,1
6,180204,mouselab,8372.0,"[[-204, 149, -18, -135, -82, 165], [37, 14, -13, -9, 87, 120], [-117, 25, 32, 15, 3, 40], [47, 61, -19, -75, -18, 97]]",2,0,5,[],120,"[0.039999999999999994, 0.89, 0.05, 0.02]",120,1,[],,,instruct2,2
6,217754,mouselab,32606.0,"[[-77, -23, 60, -69, -156, 25], [-44, 23, -92, -95, -112, 42], [-76, 53, -2, 70, 40, 68], [-90, 32, -148, 57, -23, -9]]",2,14,2,"[0, 2, 4, 1, 3, 8, 7]",-148,"[0.12, 0.1, 0.01, 0.77]",-162,3,"[16876, 18206, 20031, 25039, 25829, 28833, 30707]",,,instruct3,0
6,230993,mouselab,9937.0,"[[-92, 90, -34, 2, 105, -34], [-29, -9, -14, -27, 50, 55], [106, -41, -82, -40, -43, 25], [14, -38, -42, -31, 121, 108]]",2,6,4,"[6, 8, 10]",50,"[0.09000000000000001, 0.51, 0.39, 0.01]",44,1,"[5857, 7247, 8185]",,,instruct3,1
6,246044,mouselab,12126.0,"[[-80, -107, -38, 64, 33, -40], [-127, -18, -7, -15, -49, 179], [-51, -67, 71, 53, -88, 70], [-9, 79, -77, -156, 25, -28]]",2,12,5,"[6, 7, 8, 9, 10, 11]",179,"[0.44, 0.5, 0.04, 0.02]",167,1,"[5826, 7126, 7808, 9061, 9681, 10266]",,,instruct3,2
6,275727,mouselab,12061.0,"[[-88, -129, 59, 44, 141, 73], [57, -36, 0, -184, -58, 115], [-71, 75, 65, -85, 75, -28], [-96, 154, 2, 119, 6, 25]]",2,12,2,"[12, 13, 14, 15, 7, 8]",2,"[0.18, 0.27, 0.49, 0.06]",-10,3,"[3884, 4790, 6003, 6780, 8092, 10378]",,,test,0
