pid,time_elapsed,trial_type,probabilities,click_cost,payoff_value,payoff_matrix,choice_index,payoff_index,cost,clicks,net_payoff,block,trial_index
8,408277,mouselab,"[0.05, 0.13, 0.75, 0.07]",6,-72,"[[16, 5, 19, -3, -15, -86], [138, 52, 66, 26, -136, 61], [-72, -92, -185, 6, 163, -31], [111, -46, -53, 47, 62, -125]]",0,2,1,"[6, 7, 8, 15, 16, 17]",-78,test,0
8,430873,mouselab,"[0.09999999999999999, 0.48, 0.22, 0.2]",7,92,"[[-127, -136, 38, -56, -48, -18], [17, 37, -122, 69, -55, 39], [123, -31, 64, 92, 1, -81], [-150, 147, -82, 64, 29, 141]]",3,2,1,"[0, 1, 2, 14, 15, 8, 9]",85,test,1
8,450535,mouselab,"[0.2100000000000001, 0.25, 0.45, 0.09]",6,131,"[[39, 25, 3, 208, 154, -30], [-35, 48, 9, 35, -6, -47], [176, 41, -52, -64, 131, -45], [-20, -23, 90, 277, 66, 53]]",4,2,1,"[0, 1, 8, 9, 4, 5]",125,test,2
8,478247,mouselab,"[0.15000000000000002, 0.13, 0.51, 0.21]",7,-110,"[[-120, 111, -24, 96, 68, -28], [-77, 141, 28, -111, 48, 11], [73, -181, -85, -100, 24, -43], [73, 33, 242, -46, -110, 23]]",4,3,1,"[0, 7, 13, 8, 14, 9, 10]",-117,test,3
8,496908,mouselab,"[0.15, 0.22, 0.3, 0.33]",7,32,"[[-85, 45, -18, 34, 1, 142], [-78, 32, 51, -59, -132, 43], [134, 38, 111, -17, -75, -66], [78, 136, 33, 20, -60, 58]]",1,1,1,"[0, 6, 7, 13, 2, 9, 1]",25,test,4
8,512466,mouselab,"[0.35, 0.03, 0.06, 0.56]",5,-60,"[[-5, 50, 64, 135, -42, 10], [65, -49, 42, -50, -9, 89], [-52, -14, -83, -159, 12, 45], [147, 44, -248, 214, -60, 109]]",4,3,1,"[0, 7, 2, 14, 9]",-65,test,5
8,527605,mouselab,"[0.21000000000000002, 0.53, 0.24, 0.02]",3,24,"[[172, -81, 6, -14, -36, 22], [-9, -48, -101, 18, -10, 136], [24, 221, 68, 202, -23, 52], [77, 22, -169, -15, 158, 32]]",0,2,1,"[0, 12, 6]",21,test,6
8,548198,mouselab,"[0.44, 0.06, 0.24, 0.26]",6,64,"[[39, 91, -108, 64, -83, 119], [-11, -42, -176, 117, -8, 100], [109, -9, -46, -82, -30, -105], [-26, 63, 191, 83, 67, -56]]",3,0,1,"[0, 6, 7, 8, 9, 3]",58,test,7
8,563476,mouselab,"[0.41, 0.22, 0.33, 0.04]",4,67,"[[76, -128, 32, 25, -58, 49], [67, -76, 24, 76, -40, 81], [25, -136, -2, 99, -139, 4], [-33, -88, -24, 7, -111, 70]]",0,1,1,"[0, 6, 18, 12]",63,test,8
8,581608,mouselab,"[0.27, 0.1, 0.09, 0.54]",7,14,"[[49, -9, 14, -208, 63, 168], [61, -74, 36, -81, 13, 14], [-39, 150, 100, -231, 29, -23], [-74, 14, -185, -20, 114, 102]]",2,0,1,"[0, 6, 12, 18, 7, 8, 2]",7,test,9
3,115417,mouselab,"[0.2, 0.2, 0.1, 0.5]",0,-98,"[[151, -21, 35, -56, 14, 116], [85, 106, 44, 15, -95, 178], [51, -12, 3, -86, 41, 81], [-98, 56, 84, 40, -41, 104]]",0,3,1,[],-98,instruct1,0
3,120399,mouselab,"[0.2, 0.2, 0.1, 0.5]",0,56,"[[151, -21, 35, -56, 14, 116], [85, 106, 44, 15, -95, 178], [51, -12, 3, -86, 41, 81], [-98, 56, 84, 40, -41, 104]]",1,3,1,[],56,instruct1,1
3,124586,mouselab,"[0.2, 0.2, 0.1, 0.5]",0,44,"[[151, -21, 35, -56, 14, 116], [85, 106, 44, 15, -95, 178], [51, -12, 3, -86, 41, 81], [-98, 56, 84, 40, -41, 104]]",2,1,1,[],44,instruct1,2
3,140939,mouselab,"[0.05, 0.1, 0.29, 0.56]",0,183,"[[114, -121, 50, 17, 124, -72], [36, 19, 104, -15, 232, 225], [-139, 34, -134, 169, 183, -134], [-233, 59, -13, -155, 89, 81]]",4,2,1,[],183,instruct2,0
3,145601,mouselab,"[0.19, 0.11, 0.23, 0.47]",0,89,"[[29, -41, 134, 152, 59, 146], [88, 0, -51, 98, -51, 11], [100, 3, 148, 204, -11, 190], [-123, -128, -99, 89, 81, -18]]",3,3,1,[],89,instruct2,1
3,154358,mouselab,"[0.07999999999999999, 0.11, 0.4, 0.41]",0,131,"[[-35, 82, 55, 97, -190, 7], [29, 65, -67, 120, 110, 20], [-141, -10, 116, 131, 36, -101], [95, 34, -48, 150, 137, 75]]",3,2,1,[],131,instruct2,2
3,157199,mouselab,"[0.47000000000000003, 0.01, 0.34, 0.18]",0,138,"[[129, 229, -93, -112, -41, 222], [-100, 146, 78, -145, 139, -93], [-60, 58, 49, 45, -19, 29], [111, 138, 131, -45, 36, -15]]",1,3,1,[],138,instruct2,3
3,161519,mouselab,"[0.12, 0.01, 0.14, 0.73]",0,115,"[[24, 211, 26, 28, 53, 77], [-150, 115, 103, -27, -52, -142], [-1, 88, 34, -56, 75, 51], [101, 115, -35, -128, -171, -87]]",1,3,1,[],115,instruct2,4
3,179380,mouselab,"[0.15, 0.42, 0.19, 0.24]",2,81,"[[118, -87, 33, 3, 165, -72], [105, 81, -41, 52, -1, 83], [-67, -162, 238, -15, -44, 90], [7, 35, -80, 18, -110, 34]]",1,1,1,"[7, 19]",79,instruct3,0
3,195274,mouselab,"[0.14, 0.15, 0.62, 0.09]",4,131,"[[-81, -34, 97, 156, -78, -82], [7, -42, -123, -55, -153, -25], [54, 156, -12, -157, -146, 131], [-45, -117, -31, -11, 44, -6]]",5,2,1,"[7, 8, 9, 10]",127,instruct3,1
3,208822,mouselab,"[0.82, 0.08, 0.07, 0.03]",6,-34,"[[-53, -34, 27, 134, 136, -112], [-79, 135, -130, -211, -95, 108], [-110, -48, -101, 3, 91, 63], [-122, -101, 14, 19, -39, 70]]",1,0,1,"[6, 7, 8, 9, 10, 11]",-40,instruct3,2
3,237200,mouselab,"[0.3199999999999998, 0.52, 0.03, 0.13]",6,57,"[[-82, -29, 133, 57, 171, -57], [-69, -31, 175, 57, -4, -17], [-46, 47, -84, 120, 142, 3], [-9, 90, -79, 35, -155, 17]]",3,0,1,"[6, 7, 8, 9, 14, 10]",51,test,0
3,243113,mouselab,"[0.06000000000000001, 0.45, 0.39, 0.1]",3,174,"[[10, 104, -78, -133, -2, -20], [-143, 12, 174, -87, -72, -118], [87, 76, -38, 99, -26, 182], [-82, -60, 16, 37, 77, -63]]",2,1,1,"[6, 7, 8]",171,test,1
3,249678,mouselab,"[0.31, 0.14, 0.01, 0.54]",3,-32,"[[104, 158, 247, -192, -107, 167], [47, 23, -45, 311, 155, -187], [42, 120, 133, 78, -68, 162], [116, -32, 95, 86, 23, -104]]",1,3,1,"[8, 16, 13]",-35,test,2
3,252933,mouselab,"[0.59, 0.11, 0.15, 0.15]",0,48,"[[31, 48, -53, 29, -167, 69], [119, -194, 8, -127, 149, 98], [-87, 105, 243, -6, -64, -7], [26, 94, 12, -21, 57, 20]]",1,0,1,[],48,test,3
3,259938,mouselab,"[-8.673617379884035e-18, 0.23, 0.23, 0.54]",4,-79,"[[-36, 8, 5, -103, 63, 4], [-38, -120, -6, 48, 92, 13], [-93, 94, -33, 24, 73, -36], [114, -55, -67, 40, -79, 83]]",4,3,1,"[7, 9, 8, 10]",-83,test,4
3,265350,mouselab,"[0.38, 0.28, 0.33, 0.01]",2,30,"[[79, -54, -108, 105, 113, -227], [90, 147, 106, -8, -251, -14], [115, 102, 30, 133, -53, -165], [-56, 137, -73, -44, -51, 6]]",2,2,1,"[9, 8]",28,test,5
3,269117,mouselab,"[0.87, 0, 0.03, 0.1]",0,90,"[[25, 90, -95, -80, -111, 19], [-137, -119, 131, 63, -70, 43], [-218, -2, 137, 158, 38, -108], [151, -50, -104, 14, 16, -57]]",1,0,1,[],90,test,6
3,272494,mouselab,"[0.14, 0.38, 0.31, 0.17]",1,148,"[[61, 28, 84, 95, -9, 31], [-2, -12, 148, -26, -107, -13], [-3, -69, -61, 71, 165, 26], [-29, -81, 111, 126, -110, 93]]",2,1,1,[8],147,test,7
3,281967,mouselab,"[0.44, 0.06, 0.01, 0.49]",6,3,"[[-146, 149, 128, -15, -45, 68], [47, -50, -83, -194, -75, 75], [7, 246, 31, 53, -63, 159], [-91, -5, -185, 216, 15, 3]]",5,3,1,"[9, 8, 7, 6, 10, 11]",-3,test,8
3,288423,mouselab,"[0.31, 0.42, 0.06, 0.21]",4,-37,"[[56, 101, -240, -37, 123, -77], [29, -72, 38, 99, 188, 107], [-4, 44, -31, 36, -4, 63], [118, 88, -12, 108, 170, 230]]",3,0,1,"[6, 7, 8, 9]",-41,test,9
9,13935,mouselab,"[0.2, 0.2, 0.1, 0.5]",0,-143,"[[10, 104, -78, -133, -2, -20], [-143, 12, 174, -87, -72, -118], [87, 76, -38, 99, -26, 182], [-82, -60, 16, 37, 77, -63]]",0,1,1,[],-143,instruct1,0
9,17455,mouselab,"[0.2, 0.2, 0.1, 0.5]",0,104,"[[10, 104, -78, -133, -2, -20], [-143, 12, 174, -87, -72, -118], [87, 76, -38, 99, -26, 182], [-82, -60, 16, 37, 77, -63]]",1,0,1,[],104,instruct1,1
9,20330,mouselab,"[0.2, 0.2, 0.1, 0.5]",0,-38,"[[10, 104, -78, -133, -2, -20], [-143, 12, 174, -87, -72, -118], [87, 76, -38, 99, -26, 182], [-82, -60, 16, 37, 77, -63]]",2,2,1,[],-38,instruct1,2
9,43507,mouselab,"[0.47000000000000003, 0.01, 0.34, 0.18]",0,229,"[[129, 229, -93, -112, -41, 222], [-100, 146, 78, -145, 139, -93], [-60, 58, 49, 45, -19, 29], [111, 138, 131, -45, 36, -15]]",1,0,1,[],229,instruct2,0
9,48359,mouselab,"[0.19, 0.11, 0.23, 0.47]",0,98,"[[29, -41, 134, 152, 59, 146], [88, 0, -51, 98, -51, 11], [100, 3, 148, 204, -11, 190], [-123, -128, -99, 89, 81, -18]]",3,1,1,[],98,instruct2,1
9,51428,mouselab,"[0.18, 0.01, 0.49, 0.32]",0,251,"[[91, 112, 106, -10, 17, -181], [18, 108, 50, -35, 91, 91], [244, 251, 54, -14, 19, -96], [-13, 97, -117, -10, -148, 48]]",1,2,1,[],251,instruct2,2
9,54138,mouselab,"[0.44, 0.33, 0.1, 0.13]",0,65,"[[-64, 65, -46, 0, -72, 60], [74, 137, 122, 5, -41, -8], [-42, 237, -110, -114, 230, 51], [-152, 159, -6, -23, 144, -44]]",1,0,1,[],65,instruct2,3
9,57890,mouselab,"[0.47, 0.33, 0.09, 0.11]",0,183,"[[144, 69, 154, -174, 51, 66], [-43, 30, 183, 28, -66, 168], [13, 166, 181, -129, 32, 24], [-96, 167, 176, 134, 82, 27]]",2,1,1,[],183,instruct2,4
