Other,Rand,SAT_TTB,TTB,TTB_SAT,WADD,alpha,click_var_gamble,click_var_outcome,cost,nr_clicks,payoff_gross,payoff_gross_by_strategy,payoff_gross_relative,payoff_gross_relative_by_strategy,payoff_matrix,payoff_net,payoff_net_by_strategy,payoff_net_relative,payoff_net_relative_by_strategy,payoff_perfect,probabilities,problem_id,processing_pattern,sigma,trial_weight_con,trial_weight_exp,trial_weight
0.0,0.0,0.182,0.175,0.643,0.0,3.2,0.038588888888888895,0.1875,4.0,3.571,13.849999999999996,"[13.850000000000167, 13.849999999999952, 13.849999999999953, 0.0, 0.0, 0.0]",0.2704919633615218,"[0.27049196336151815, 0.27049196336152187, 0.27049196336152187, 0.0, 0.0, 0.0]","[[11, -192, -3, -131, 0, 63], [99, -2, -149, 65, -106, 101], [12, -17, -175, -95, 44, -177], [15, -23, -34, 84, -149, 28]]",-0.4340000000000043,"[-0.5388024883359246, 9.278571428571402, -10.15000000000003, 0.0, 0.0, 0.0]",-0.008476065855516359,"[-0.010522869525924678, 0.18121148035410897, -0.1982305724273977, 0.0, 0.0, 0.0]",51.20299999999999,"[0.48, 0.25, 0.24, 0.03]",SaPACZPUDlvdmkP,-1.0,75.0,1.0097087378640777,1.0101010101010102,1.00990099009901
0.0,0.0,0.642,0.0,0.358,0.0,0.3,0.06470277777777779,0.1875,1.0,2.4090000000000003,91.08096000000002,"[119.58000000000105, 75.18897196261742, 0.0, 0.0, 0.0, 0.0]",1.4253225251165846,"[1.871302932615558, 1.176629400685679, 0.0, 0.0, 0.0, 0.0]","[[-87, -59, 53, -49, -157, -46], [-139, 11, 115, -40, -204, -116], [-51, -61, -54, 52, 84, -15], [-101, -17, 152, -16, 48, 138]]",88.67196000000004,"[116.57441340782226, 73.11264797507843, 0.0, 0.0, 0.0, 0.0]",1.3876241745172295,"[1.8242686208228347, 1.1441370845212648, 0.0, 0.0, 0.0, 0.0]",63.90200000000002,"[0.09, 0.19, 0.08, 0.64]",WdVOkNPSiCkiKDf,-1.0,75.0,1.0097087378640777,1.0101010101010102,1.00990099009901
0.0,0.0,0.039,0.0,0.961,0.0,0.3,0.01172336356764928,0.11472003401360545,1.0,6.069,37.939999999999976,"[37.93999999999972, 37.94, 0.0, 0.0, 0.0, 0.0]",0.5937216362555161,"[0.5937216362555099, 0.5937216362555161, 0.0, 0.0, 0.0, 0.0]","[[-120, 22, -32, -105, -105, 26], [-6, -42, -123, 68, 59, -90], [87, -117, 56, -95, 34, -15], [-72, 54, 86, 15, -103, -66]]",31.87099999999999,"[31.827617065556193, 32.93999999999998, 0.0, 0.0, 0.0, 0.0]",0.4987480830020967,"[0.4980691850889839, 0.5154768238865762, 0.0, 0.0, 0.0, 0.0]",63.90200000000002,"[0.010000000000000111, 0.58, 0.06, 0.35]",12Smwv1zSNyuuxE,-0.8275095238095237,75.0,1.0097087378640777,1.0101010101010102,1.00990099009901
0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.0031482426303854885,0.11027295918367347,1.0,7.492000000000001,35.75,"[35.75, 0.0, 0.0, 0.0, 0.0, 0.0]",0.5594504084379207,"[0.5594504084379093, 0.0, 0.0, 0.0, 0.0, 0.0]","[[15, -30, 29, -47, -45, -53], [-99, -104, 26, 20, -32, -84], [159, -28, 100, -106, 63, 32], [61, -31, -171, -16, -79, -55]]",28.258000000000003,"[28.258, 0.0, 0.0, 0.0, 0.0, 0.0]",0.4422083815843009,"[0.4422083815843053, 0.0, 0.0, 0.0, 0.0, 0.0]",63.90200000000002,"[0.37, 0.44, 0.17, 0.02]",IBOZgXFSkyvyiUf,-0.8285047619047619,75.0,1.0097087378640777,1.0101010101010102,1.00990099009901
0.0,0.0,0.485,0.0,0.515,0.0,3.2,0.07463888888888891,0.1875,4.0,1.9569999999999999,76.18754000000001,"[77.92885436893181, 74.33851546391726, 0.0, 0.0, 0.0, 0.0]",1.4879507060133197,"[1.5219587596221325, 1.4518390614596315, 0.0, 0.0, 0.0, 0.0]","[[11, 99, 37, 96, -15, -10], [-102, 110, 161, -24, -71, 37], [-55, 8, 9, 21, 70, 82], [-34, -16, 17, 136, 62, 150]]",68.35954000000001,"[68.58516504854357, 68.11995876288647, 0.0, 0.0, 0.0, 0.0]",1.3350690389235007,"[1.339475519960619, 1.330389992049032, 0.0, 0.0, 0.0, 0.0]",51.20299999999999,"[0.1, 0.54, 0.15, 0.21]",aYhiKG1buBq3xGu,-1.0,75.0,1.0097087378640777,1.0101010101010102,1.00990099009901
0.0,0.0,0.836,0.0,0.16399999999999998,0.0,0.3,0.06622777777777779,0.1875,1.0,2.362,76.37966,"[106.75, 70.42184210526375, 0.0, 0.0, 0.0, 0.0]",1.1952624331006854,"[1.670526744076874, 1.1020287644402922, 0.0, 0.0, 0.0, 0.0]","[[26, 3, -7, -50, 62, 37], [170, -11, -37, 11, -44, 59], [-158, -3, -108, -8, -23, -72], [5, 21, 96, 148, 8, -72]]",74.01765999999999,"[103.23780487804878, 68.2854784689001, 0.0, 0.0, 0.0, 0.0]",1.1582995837375982,"[1.6155645344128353, 1.0685968900644662, 0.0, 0.0, 0.0, 0.0]",63.90200000000002,"[0.03, 0.03, 0.2, 0.74]",Gq2ftjqDBmr2chN,-1.0,75.0,1.0097087378640777,1.0101010101010102,1.00990099009901
0.0,0.0,0.0,1.0,0.0,0.0,0.3,0.0,0.1875,1.0,6.0,15.759999999999994,"[0.0, 0.0, 15.76000000000019, 0.0, 0.0, 0.0]",0.24662764858689856,"[0.0, 0.0, 0.24662764858689598, 0.0, 0.0, 0.0]","[[-56, 69, -45, 13, -11, -81], [158, 111, -15, 70, 133, 4], [-22, 1, -38, -46, -67, -123], [-17, 31, -20, -11, -19, -48]]",9.76,"[0.0, 0.0, 9.76000000000017, 0.0, 0.0, 0.0]",0.15273387374417075,"[0.0, 0.0, 0.15273387374417102, 0.0, 0.0, 0.0]",63.90200000000002,"[0.02000000000000001, 0.04, 0.64, 0.3]",klD1PHboiI6GI83,-1.0,75.0,1.0097087378640777,1.0101010101010102,1.00990099009901
0.0,0.0,0.736,0.0,0.264,0.0,3.2,0.06880000000000001,0.1875,4.0,2.329,42.86825,"[30.57999999999994, 47.275991847826575, 0.0, 0.0, 0.0, 0.0]",0.8372214518680547,"[0.5972306310177112, 0.923305115868726, 0.0, 0.0, 0.0, 0.0]","[[7, -95, 8, -33, 43, -148], [36, -62, 14, 74, 0, 49], [-64, -38, 68, 51, -33, -99], [-18, -90, 7, 63, -23, -100]]",33.552249999999994,"[17.443636363636312, 39.33033967391359, 0.0, 0.0, 0.0, 0.0]",0.6552789875593228,"[0.3406760612393082, 0.7681256893915015, 0.0, 0.0, 0.0, 0.0]",51.20299999999999,"[0.06, 0.31, 0.35, 0.28]",U6NalRd3JS7aHgM,-1.0,75.0,1.0097087378640777,1.0101010101010102,1.00990099009901
0.0,0.0,0.027000000000000003,0.0,0.973,0.0,0.3,0.01642490457294029,0.11113713151927436,1.0,5.718999999999999,77.4,"[77.40000000000013, 77.40000000000003, 0.0, 0.0, 0.0, 0.0]",1.21122969547119,"[1.2112296954711945, 1.2112296954711896, 0.0, 0.0, 0.0, 0.0]","[[61, -42, -94, -52, -163, 53], [85, -65, -84, 88, 40, 87], [53, -6, 64, -32, 83, -117], [101, 67, 39, -108, -29, 8]]",71.68099999999998,"[71.66104830421438, 72.40000000000003, 0.0, 0.0, 0.0, 0.0]",1.1217332790835968,"[1.1214210557449462, 1.1329848831022498, 0.0, 0.0, 0.0, 0.0]",63.90200000000002,"[0.51, 0.17, 0.01, 0.31]",55wGWrG0AsulSFG,-0.8067142857142857,75.0,1.0097087378640777,1.0101010101010102,1.00990099009901
0.0,0.0,0.746,0.0,0.254,0.0,3.2,0.09081944444444444,0.1875,4.0,1.765,-17.814000000000004,"[-28.721653543307095, -14.100134048257342, 0.0, 0.0, 0.0, 0.0]",-0.3479093021893248,"[-0.5609369283695704, -0.2753771077526199, 0.0, 0.0, 0.0, 0.0]","[[27, -53, -32, -18, 75, 68], [29, 3, 15, 149, -146, 2], [9, 32, -68, 54, -108, -104], [98, 31, 97, 8, -114, -101]]",-24.874000000000002,"[-39.06811023622047, -20.041152815013458, 0.0, 0.0, 0.0, 0.0]",-0.4857918481338984,"[-0.7630043207667595, -0.3914058319827622, 0.0, 0.0, 0.0, 0.0]",51.20299999999999,"[0.29, 0.22, 0.26, 0.23]",tK9NSXZJXL2a1DM,-1.0,75.0,1.0097087378640777,1.0101010101010102,1.00990099009901
0.0,0.0,0.258,0.0,0.742,0.0,3.2,0.042591666666666674,0.1875,4.0,3.261,-22.113579999999995,"[-22.17245283018886, -21.94426356589147, 0.0, 0.0, 0.0, 0.0]",-0.4318805538737964,"[-0.43303034646775856, -0.4285737860260418, 0.0, 0.0, 0.0, 0.0]","[[-50, 10, -163, 57, 26, 95], [13, -25, 81, 4, -24, -10], [-85, 19, -88, 37, -86, 5], [-41, 47, 116, -1, -4, -34]]",-35.15757999999999,"[-37.26140161725033, -29.10705426356585, 0.0, 0.0, 0.0, 0.0]",-0.6866312520750737,"[-0.7277191105452963, -0.5684638451568429, 0.0, 0.0, 0.0, 0.0]",51.20299999999999,"[0.23, 0.32, 0.29, 0.16]",HO2m16im97e1RLZ,-1.0,75.0,1.0097087378640777,1.0101010101010102,1.00990099009901
0.0,0.0,0.0,1.0,0.0,0.0,0.3,0.0,0.1875,4.0,6.0,15.759999999999994,"[0.0, 0.0, 15.76000000000019, 0.0, 0.0, 0.0]",0.24662764858689856,"[0.0, 0.0, 0.24662764858689598, 0.0, 0.0, 0.0]","[[-56, 69, -45, 13, -11, -81], [158, 111, -15, 70, 133, 4], [-22, 1, -38, -46, -67, -123], [-17, 31, -20, -11, -19, -48]]",-8.239999999999998,"[0.0, 0.0, -8.239999999999839, 0.0, 0.0, 0.0]",-0.12894745078401298,"[0.0, 0.0, -0.12894745078401185, 0.0, 0.0, 0.0]",63.90200000000002,"[0.02000000000000001, 0.04, 0.64, 0.3]",klD1PHboiI6GI83,-1.0,75.0,0.9514563106796116,0.9494949494949495,0.9504950495049505
