Other,Rand,SAT_TTB,TTB,TTB_SAT,WADD,alpha,click_var_gamble,click_var_outcome,cost,nr_clicks,payoff_gross,payoff_gross_by_strategy,payoff_gross_relative,payoff_gross_relative_by_strategy,payoff_net,payoff_net_by_strategy,payoff_net_relative,payoff_net_relative_by_strategy,payoff_perfect,problem_id,processing_pattern,sigma,strategy
0.0,0.0,0.018000000000000002,0.0,0.982,0.0,3.2,0.006001695505872995,0.09199638809242704,4.0,8.041,6.230560000000002,"[7.5301629327902795, -64.67, 0.0, 0.0, 0.0, 0.0]",0.11901057284672135,"[0.14383442327182624, -1.235268378122908, 0.0, 0.0, 0.0, 0.0]",-25.933439999999994,"[-24.93012219959248, -80.67000000000002, 0.0, 0.0, 0.0, 0.0]",-0.4953573274771571,"[-0.47619285009891754, -1.5408860377791098, 0.0, 0.0, 0.0, 0.0]",52.35299562858668,tK9NSXZJXL2a1DM,-0.6383134920634921,75.0,"['TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']"
0.0,0.0,0.159,0.145,0.696,0.0,3.2,0.023916666666666676,0.1875,4.0,3.719,-18.529999999999994,"[-18.530000000000186, -18.530000000000047, -18.53000000000003, 0.0, 0.0, 0.0]",-0.3539434520893379,"[-0.3539434520893393, -0.3539434520893389, -0.35394345208933886, 0.0, 0.0, 0.0]",-33.405999999999985,"[-32.742643678160796, -27.989119496855405, -42.52999999999997, 0.0, 0.0, 0.0]",-0.6380914711546911,"[-0.6254206332422787, -0.5346230747791679, -0.8123699415736383, 0.0, 0.0, 0.0]",52.35299562858668,HO2m16im97e1RLZ,-1.0,75.0,"['TTB', 'TTB', 'TTB_SAT', 'SAT_TTB', 'TTB', 'TTB', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']"
0.0,0.0,0.836,0.16399999999999998,0.0,0.0,3.2,0.04032777777777778,0.1875,4.0,3.502,79.15,"[0.0, 79.15000000000094, 79.14999999999976, 0.0, 0.0, 0.0]",1.5118523601117706,"[0.0, 1.511852360111784, 1.5118523601117662, 0.0, 0.0, 0.0]",65.14199999999998,"[0.0, 67.1021531100488, 55.149999999999835, 0.0, 0.0, 0.0]",1.2442840990827662,"[0.0, 1.2817251869615522, 1.05342587062747, 0.0, 0.0, 0.0]",52.35299562858668,8EHleEowa3Bcw0G,-1.0,75.0,"['SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'TTB', 'SAT_TTB', 'TTB']"
0.0,0.0,0.366,0.0,0.634,0.0,3.2,0.06519722222222223,0.1875,4.0,2.406,50.84440000000001,"[49.46776025236571, 53.22907103825145, 0.0, 0.0, 0.0, 0.0]",0.9711841584139848,"[0.9448888197976313, 1.0167340072740059, 0.0, 0.0, 0.0, 0.0]",41.22040000000001,"[37.01981072555196, 48.49683060109299, 0.0, 0.0, 0.0, 0.0]",0.7873551361307797,"[0.7071192446786706, 0.9263429918155814, 0.0, 0.0, 0.0, 0.0]",52.35299562858668,B7AmiGrF0VHtZKs,-1.0,75.0,"['SAT_TTB', 'TTB_SAT', 'SAT_TTB', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'SAT_TTB', 'SAT_TTB', 'TTB_SAT']"
0.0,0.0,0.0,0.0,1.0,0.0,3.2,0.00970023305618544,0.09866774376417232,4.0,7.084,27.74000000000001,"[27.740000000000542, 0.0, 0.0, 0.0, 0.0, 0.0]",0.5298646174289389,"[0.5298646174289325, 0.0, 0.0, 0.0, 0.0, 0.0]",-0.5960000000000019,"[-0.5959999999999942, 0.0, 0.0, 0.0, 0.0, 0.0]",-0.011384257822193523,"[-0.011384257822193494, 0.0, 0.0, 0.0, 0.0, 0.0]",52.35299562858668,2O9UAcifjV8B4g6,-0.7872809523809523,75.0,"['TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']"
0.0,0.0,0.0,0.0,1.0,0.0,3.2,0.0032820216049382718,0.0851909722222222,4.0,8.493,34.57542999999999,"[34.57542999999974, 0.0, 0.0, 0.0, 0.0, 0.0]",0.6604288748879253,"[0.6604288748879209, 0.0, 0.0, 0.0, 0.0, 0.0]",0.6034299999999982,"[0.6034300000000071, 0.0, 0.0, 0.0, 0.0, 0.0]",0.011526179022896304,"[0.011526179022896176, 0.0, 0.0, 0.0, 0.0, 0.0]",52.35299562858668,l6dGWbHa5ETDOcj,-0.9528571428571428,75.0,"['TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']"
0.0,0.0,0.0,1.0,0.0,0.0,3.2,0.0,0.1875,4.0,6.0,33.26,"[0.0, 0.0, 33.25999999999933, 0.0, 0.0, 0.0]",0.6353027100103283,"[0.0, 0.0, 0.635302710010328, 0.0, 0.0, 0.0]",9.260000000000003,"[0.0, 0.0, 9.260000000000167, 0.0, 0.0, 0.0]",0.17687622052602647,"[0.0, 0.0, 0.17687622052602597, 0.0, 0.0, 0.0]",52.35299562858668,6lht0ZurQP2rMOw,-1.0,75.0,"['TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB']"
0.0,0.0,0.032,0.0,0.968,0.0,3.2,0.0167716156462585,0.11007272959183673,4.0,5.712999999999999,52.18145000000001,"[52.89554752066073, 30.580000000000013, 0.0, 0.0, 0.0, 0.0]",0.9967232891541928,"[1.0103633399685974, 0.5841117520179145, 0.0, 0.0, 0.0, 0.0]",29.329449999999994,"[29.94926652892615, 10.57999999999999, 0.0, 0.0, 0.0, 0.0]",0.5602248667502232,"[0.5720640465618796, 0.20208967744766304, 0.0, 0.0, 0.0, 0.0]",52.35299562858668,U6NalRd3JS7aHgM,-0.8158666666666665,75.0,"['TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']"
0.0,0.0,0.852,0.14800000000000002,0.0,0.0,3.2,0.041963888888888905,0.1875,4.0,3.406,18.920000000000012,"[0.0, 18.920000000000066, 18.920000000000037, 0.0, 0.0, 0.0]",0.361392882543458,"[0.0, 0.3613928825434594, 0.36139288254345725, 0.0, 0.0, 0.0]",5.296000000000002,"[0.0, 7.098403755868603, -5.0800000000000045, 0.0, 0.0, 0.0]",0.10115944534620262,"[0.0, 0.13558734644770823, -0.09703360694084394, 0.0, 0.0, 0.0]",52.35299562858668,iubSyA0EPXwngsD,-1.0,75.0,"['SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB']"
0.0,0.0,0.341,0.171,0.488,0.0,3.2,0.0395388888888889,0.1875,4.0,3.5269999999999997,4.6099999999999985,"[4.609999999999971, 4.609999999999973, 4.610000000000011, 0.0, 0.0, 0.0]",0.08805608818844292,"[0.0880560881884429, 0.08805608818844228, 0.0880560881884431, 0.0, 0.0, 0.0]",-9.497999999999998,"[-10.849016393442666, -2.6040762463342997, -19.38999999999998, 0.0, 0.0, 0.0]",-0.1814222832134124,"[-0.20722818748347938, -0.049740730498187405, -0.3703704012958583, 0.0, 0.0, 0.0]",52.35299562858668,KUyNdHbCfa4jtIt,-1.0,75.0,"['TTB', 'TTB_SAT', 'TTB_SAT', 'SAT_TTB', 'SAT_TTB', 'TTB_SAT', 'TTB_SAT', 'SAT_TTB', 'TTB_SAT', 'TTB_SAT']"
