Other,Rand,SAT_TTB,TTB,TTB_SAT,WADD,alpha,click_var_gamble,click_var_outcome,cost,nr_clicks,payoff_gross,payoff_gross_by_strategy,payoff_gross_relative,payoff_gross_relative_by_strategy,payoff_matrix,payoff_net,payoff_net_by_strategy,payoff_net_relative,payoff_net_relative_by_strategy,payoff_perfect,probabilities,problem_id,processing_pattern,sigma,trial_weight_exclude,trial_weight_exclude_75
0.0,0.0,0.0,0.002,0.998,0.0,0.1,0.0028287981859410434,0.1263979591836734,4.0,6.997999999999999,34.224799999999995,"[34.23663326653249, 0.0, 28.32, 0.0, 0.0, 0.0]",0.4593551795460429,"[0.4595140021621874, 0.0, 0.3801026940915341, 0.0, 0.0, 0.0]","[[22, -21, 17, -147, -65, 100], [54, -13, -100, 92, -2, -47], [53, -102, 179, 100, 3, 103], [-73, -101, 34, 0, -97, 7]]",6.232799999999997,"[6.2366332665330635, 0.0, 4.32, 0.0, 0.0, 0.0]",0.0836548047928571,"[0.08370625376659882, 0.0, 0.05798176689531876, 0.0, 0.0, 0.0]",74.50618067226894,"[0.32, 0.11, 0.1, 0.47]",oedMfnpcKaE2y8l,-0.9493333333333333,75.0,1.1395896656534954,1.162926577042399
0.0,0.0,0.7559999999999999,0.0,0.244,0.0,0.1,0.09169444444444444,0.1875,8.0,1.735,88.02633,"[88.89065573770469, 87.74736772486816, 0.0, 0.0, 0.0, 0.0]",1.1814634598866671,"[1.193064185221209, 1.1777193104400598, 0.0, 0.0, 0.0, 0.0]","[[-12, 85, 106, 92, -20, -73], [7, -60, -62, 29, -9, 16], [65, -31, 5, 113, -113, -100], [93, 111, 43, -124, -5, -39]]",74.14633,"[67.57918032786901, 76.26588624338663, 0.0, 0.0, 0.0, 0.0]",0.9951701903248564,"[0.9070278427655577, 1.02361824959003, 0.0, 0.0, 0.0, 0.0]",74.50618067226894,"[0.94, 0.03, 0.01, 0.02]",mfqNgrWLCngjYvI,-1.0,75.0,0.6331053698074975,0.6460703205791107
0.0,0.0,0.098,0.0,0.902,0.0,1.0,0.026395975686570924,0.10585221277399848,1.0,5.754,49.6508,"[49.66827050997799, 49.489999999999874, 0.0, 0.0, 0.0, 0.0]",0.8695293768005445,"[0.8698353360530328, 0.8667133028643833, 0.0, 0.0, 0.0, 0.0]","[[91, 74, -39, -60, 128, -115], [100, 152, -56, 92, -19, -113], [20, -59, 54, -24, -50, -47], [-12, -72, 33, 103, -10, -49]]",43.896800000000006,"[43.50640798226201, 47.48999999999988, 0.0, 0.0, 0.0, 0.0]",0.7687601639356899,"[0.7619232685001351, 0.8316875076385056, 0.0, 0.0, 0.0, 0.0]",57.10077350427351,"[0.51, 0.01, 0.27, 0.21]",SlegoBjXGG4w7wZ,-0.7649,75.0,0.506484295845998,0.5168562564632885
0.0,0.0,0.344,0.166,0.49,0.0,3.2,0.04192222222222223,0.1875,1.0,3.464,73.59,"[73.5899999999998, 73.59000000000013, 73.59000000000012, 0.0, 0.0, 0.0]",1.3740870530823133,"[1.3740870530823155, 1.3740870530823062, 1.3740870530823182, 0.0, 0.0, 0.0]","[[-9, 85, -5, -35, 135, 38], [-60, -15, 81, 36, -48, 83], [184, 24, 30, -150, -110, -43], [66, 116, -198, 33, -152, -28]]",70.12600000000003,"[69.74306122448978, 71.89523255813965, 67.59000000000012, 0.0, 0.0, 0.0]",1.3094065591038224,"[1.3022562504538389, 1.342442019791833, 1.2620538648978634, 0.0, 0.0, 0.0]",53.555558823529395,"[0.21, 0.18, 0.39, 0.22]",2znAhdVeX1vO3YQ,-1.0,75.0,0.6331053698074975,0.6460703205791107
0.27699999999999997,0.0,0.0,0.0,0.723,0.0,0.3,0.0050178236541530185,0.08486642959498612,0.0,8.282,80.10796000000002,"[80.01257261410757, 0.0, 0.0, 0.0, 0.0, 80.35693140794211]",0.6060465539783865,"[0.6053249128766417, 0.0, 0.0, 0.0, 0.0, 0.6079301154100163]","[[-80, -68, -67, 164, 106, 116], [81, -248, -327, -123, 70, -48], [-58, 22, 130, 134, 38, 374], [220, -153, -94, -132, 201, -77]]",80.10796000000002,"[80.01257261410757, 0.0, 0.0, 0.0, 0.0, 80.35693140794211]",0.6060465539783865,"[0.6053249128766417, 0.0, 0.0, 0.0, 0.0, 0.6079301154100163]",132.18119874476992,"[0.010000000000000009, 0.77, 0.11, 0.11]",fsVMRdhvVoVJamd,-0.8993253968253968,150.0,1.519452887537994,0.0
0.0,0.0,0.51,0.0,0.49,0.0,0.3,0.050541666666666665,0.1875,1.0,2.7039999999999997,85.71534999999997,"[82.79304081632608, 88.5230588235287, 0.0, 0.0, 0.0, 0.0]",1.3024072464528675,"[1.2580040367921517, 1.3450691537739519, 0.0, 0.0, 0.0, 0.0]","[[-40, -36, -135, 25, -23, -26], [75, -26, -49, -47, -134, -139], [-4, -30, -59, 98, 129, -6], [72, -44, 39, 7, -30, 7]]",83.01134999999998,"[79.38283673469344, 86.49756862745028, 0.0, 0.0, 0.0, 0.0]",1.2613211493371406,"[1.2061874775900727, 1.3142927163098135, 0.0, 0.0, 0.0, 0.0]",65.81301680672267,"[0.029999999999999992, 0.01, 0.77, 0.19]",Z6igLUgOZ1o22OJ,-1.0,75.0,0.759726443768997,0.7752843846949328
0.0,0.0,0.281,0.0,0.7190000000000001,0.0,10.0,0.040808825900730684,0.1361478968253968,4.0,4.567,103.80999999999996,"[103.80999999999895, 103.81000000000049, 0.0, 0.0, 0.0, 0.0]",1.05005685239125,"[1.0500568523912392, 1.0500568523912461, 0.0, 0.0, 0.0, 0.0]","[[154, 184, -110, -46, 86, -141], [-111, -206, 168, 7, 56, 64], [53, 54, 286, 49, -109, -8], [174, -8, -147, 19, -128, 101]]",85.54199999999997,"[80.85589707927609, 97.53241992882606, 0.0, 0.0, 0.0, 0.0]",0.8652727412315989,"[0.8178719659410073, 0.9865579990036031, 0.0, 0.0, 0.0, 0.0]",98.86131380753136,"[0.15, 0.27, 0.37, 0.21]",7MdK3SAZMHA9Mek,-0.744116489571035,150.0,1.519452887537994,0.0
0.0,0.0,0.0,0.0,1.0,0.0,3.2,0.008019958847736625,0.05601975308641975,4.0,9.485,79.50999999999998,"[79.50999999999962, 0.0, 0.0, 0.0, 0.0, 0.0]",0.7514858305591334,"[0.7514858305591269, 0.0, 0.0, 0.0, 0.0, 0.0]","[[37, 31, 38, -123, 125, 155], [88, -41, -18, -313, 229, -29], [-63, -81, -38, 100, 14, 134], [-23, 183, -166, 68, 52, 67]]",41.56999999999999,"[41.56999999999988, 0.0, 0.0, 0.0, 0.0, 0.0]",0.3928973207941539,"[0.3928973207941553, 0.0, 0.0, 0.0, 0.0, 0.0]",105.803724789916,"[0.07, 0.22, 0.41, 0.3]",etWxXiPEENM8zyz,-0.7150357142857142,150.0,0.506484295845998,0.0
0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.016979434339443357,0.03931892070506653,2.0,9.066,104.53,"[104.52999999999906, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0573397821063222,"[1.0573397821063049, 0.0, 0.0, 0.0, 0.0, 0.0]","[[94, 108, 156, -189, 146, -175], [115, 6, 143, 53, -314, 174], [5, -8, 142, 41, -67, -62], [-75, -93, -89, 124, -16, -53]]",86.39799999999998,"[86.39799999999912, 0.0, 0.0, 0.0, 0.0, 0.0]",0.8739313354484077,"[0.8739313354484065, 0.0, 0.0, 0.0, 0.0, 0.0]",98.86131380753136,"[0.27, 0.33, 0.22, 0.18]",vAgbY0t8OE27bJ4,-0.3368,150.0,1.266210739614995,0.0
0.0,0.0,0.316,0.158,0.526,0.0,10.0,0.03925277777777779,0.1875,8.0,3.498,117.47,"[117.47000000000078, 117.47000000000052, 117.46999999999987, 0.0, 0.0, 0.0]",1.1882302133744351,"[1.1882302133744373, 1.1882302133744287, 1.1882302133744327, 0.0, 0.0, 0.0]","[[-93, 169, -112, -111, -107, 34], [-236, -162, -168, 284, 279, 356], [-79, -212, -54, -134, -156, 187], [67, 164, 42, -80, -32, -139]]",89.48600000000002,"[87.34072243346071, 103.0649367088612, 69.4699999999999, 0.0, 0.0, 0.0]",0.9051670117819416,"[0.8834671427035671, 1.0425204029709065, 0.7027015657029207, 0.0, 0.0, 0.0]",98.86131380753136,"[0.28, 0.17, 0.38, 0.17]",OyNTv7w2tf8yH1l,-1.0,150.0,1.012968591691996,0.0
