pid,rt,time_elapsed,trial_type,click_cost,payoff_index,probabilities,payoff_value,net_payoff,clicks,payoff_matrix,click_times,cost,choice_index,block,trial_index
15,4731.0,233418,mouselab,16,1,"[0.17, 0.22, 0.29, 0.32]",-131,-147,"[20, 14]","[[224, 18, -50, 193, 101, -101], [218, -93, -131, -23, -160, 194], [40, -170, 93, 230, 380, 14], [85, 3, 215, 153, 55, -131]]","[2569, 3660]",8,2,test,4
15,7303.0,244351,mouselab,40,3,"[0.32, 0.2, 0.27, 0.21]",130,90,"[21, 3, 4, 9, 15]","[[-182, -73, -111, 49, 58, -95], [-135, -218, -10, -1, -213, -83], [-160, -104, 212, 100, -40, -355], [358, -28, -113, 130, 324, 2]]","[1015, 3179, 4717, 5714, 6212]",8,3,test,5
15,6987.0,254316,mouselab,40,3,"[0.25, 0.23, 0.28, 0.24]",66,26,"[15, 14, 8, 20, 2]","[[-177, -22, 92, -55, -49, 144], [18, -20, 156, -217, 39, 280], [-240, -63, 79, 9, 138, -133], [-352, -158, 66, 121, 109, 94]]","[1988, 2928, 4096, 5582, 6300]",8,2,test,6
15,2972.0,258340,mouselab,8,2,"[0.26, 0.3, 0.19, 0.25]",-11,-19,[8],"[[-353, 81, 97, 334, -263, 82], [65, 50, 19, 132, -63, -135], [66, -84, -11, 3, 43, -106], [124, -84, -160, 32, -57, -81]]",[1202],8,2,test,7
15,3114.0,263270,mouselab,16,3,"[0.22, 0.22, 0.27, 0.29]",125,109,"[6, 18]","[[-113, -169, 75, 70, 132, -136], [77, -4, 144, -211, -92, -101], [-76, -159, 43, -183, -154, 101], [125, 10, 121, 193, 46, 3]]","[1420, 2311]",8,0,test,8
15,15077.0,279782,mouselab,80,0,"[0.21, 0.29, 0.28, 0.22]",24,-56,"[14, 8, 2, 15, 10, 11, 7, 12, 1, 19]","[[-68, 24, -350, 14, -107, -285], [233, 102, 226, 77, -138, -309], [-220, 157, 95, -12, -52, -115], [-174, 158, 30, 191, -127, 195]]","[1743, 2617, 4433, 9018, 10045, 10892, 11698, 12307, 13088, 13673]",8,1,test,9
8,10904.0,27321,mouselab,0,0,"[0.2, 0.2, 0.1, 0.5]",-26,-26,[],"[[-30, -32, 5, 12, -26, -4], [88, 82, 2, -133, 81, 92], [81, 29, 11, -53, -11, 66], [-74, 54, -20, 46, -54, -9]]",[],8,4,instruct1,0
8,1840.0,30873,mouselab,0,3,"[0.2, 0.2, 0.1, 0.5]",46,46,[],"[[-30, -32, 5, 12, -26, -4], [88, 82, 2, -133, 81, 92], [81, 29, 11, -53, -11, 66], [-74, 54, -20, 46, -54, -9]]",[],8,3,instruct1,1
8,2065.0,34481,mouselab,0,0,"[0.2, 0.2, 0.1, 0.5]",-32,-32,[],"[[-30, -32, 5, 12, -26, -4], [88, 82, 2, -133, 81, 92], [81, 29, 11, -53, -11, 66], [-74, 54, -20, 46, -54, -9]]",[],8,1,instruct1,2
8,1849.0,37856,mouselab,0,0,"[0.19, 0.26, 0.22, 0.33]",92,92,[],"[[199, 183, 92, 58, -64, 70], [155, 19, 68, 1, -77, 126], [205, -74, 169, -138, -104, -180], [91, -12, -16, -1, -2, 79]]",[],8,2,instruct2,0
8,2825.0,42064,mouselab,0,2,"[0.28, 0.15, 0.25, 0.32]",109,109,[],"[[93, -96, -94, 41, 59, 63], [47, -71, 36, -7, 1, -17], [147, -47, 132, -77, 109, 126], [40, 2, -105, 10, 14, -52]]",[],8,4,instruct2,1
8,3967.0,48047,mouselab,0,2,"[0.21000000000000002, 0.21, 0.32, 0.26]",161,161,[],"[[-135, 121, -118, 98, -51, -152], [146, 172, -9, -52, 37, -60], [28, 161, 47, 9, 125, 45], [75, 103, 6, -106, 31, -17]]",[],8,1,instruct2,2
8,14987.0,66850,mouselab,0,3,"[0.18, 0.34, 0.29, 0.19]",-85,-85,[],"[[-48, 105, 104, -1, -28, 52], [86, 38, 13, 31, -56, 17], [-32, 15, -11, -15, 112, 2], [-104, -6, -85, -56, -37, 69]]",[],8,2,instruct3,0
8,1898.0,70209,mouselab,0,0,"[0.28, 0.39, 0.11, 0.22]",65,65,[],"[[78, 65, -66, -36, -19, -48], [22, 7, -11, 10, 20, 104], [19, -77, -42, 50, 27, 58], [-29, -45, 82, 71, -17, -52]]",[],8,1,instruct3,1
8,1825.0,73233,mouselab,0,2,"[0.25, 0.23, 0.2, 0.32]",-89,-89,[],"[[-4, -56, 15, 11, 12, -210], [140, -17, 0, -90, -17, 39], [-89, 12, -68, 57, 35, 42], [113, -41, 7, 53, -62, 2]]",[],8,0,instruct3,2
8,1367.0,82417,mouselab,0,0,"[0.3, 0.21, 0.17, 0.32]",-68,-68,[],"[[77, -48, -30, -68, -94, -89], [-34, -28, -34, -12, 62, 22], [22, -5, 105, -167, 141, 35], [69, -45, -26, -178, -96, 91]]",[],8,3,test,0
8,1368.0,84737,mouselab,0,1,"[0.27, 0.32, 0.22, 0.19]",-2,-2,[],"[[5, -37, 116, -58, 4, -30], [-2, 18, 83, 4, -37, 34], [72, 108, 97, -139, 91, -58], [-82, 84, -119, 31, 115, 27]]",[],8,0,test,1
8,985.0,86841,mouselab,0,3,"[0.29000000000000004, 0.25, 0.25, 0.21]",-179,-179,[],"[[-64, 10, -25, -6, -148, -30], [-51, 7, 39, 1, -24, -31], [70, -6, 157, 16, -88, -92], [50, 26, -32, -16, 73, -179]]",[],8,5,test,2
8,729.0,88736,mouselab,0,0,"[0.33, 0.27, 0.18, 0.22]",-23,-23,[],"[[-237, -62, 10, 4, -23, 39], [44, -49, -38, -75, -55, -103], [35, 11, 53, -61, -43, 34], [-4, -27, 32, 52, 176, 8]]",[],8,4,test,3
8,948.0,90489,mouselab,0,1,"[0.23, 0.25, 0.33, 0.19]",-11,-11,[],"[[-23, -156, -94, -110, -107, -33], [139, -33, 57, -11, 7, 45], [-253, -7, 113, 37, 25, 64], [-170, -46, -11, 21, -65, 32]]",[],8,3,test,4
